1.00E+00,5.74E+00,-3.71E-01,-3.99E-01
0.00E+00,-8.66E-01,3.79E-01,3.48E-01
1.00E+00,3.65E+00,-2.33E-01,-3.25E-01
0.00E+00,1.37E-01,2.24E-01,1.53E-01
2.00E+00,-9.34E-01,4.34E+00,8.97E-01
2.00E+00,2.70E-01,5.03E+00,-6.65E-01
1.00E+00,3.80E+00,6.27E-01,9.36E-02
0.00E+00,2.06E+00,4.14E-02,-1.60E+00
2.00E+00,1.49E+00,5.07E+00,1.07E+00
1.00E+00,5.37E+00,1.53E+00,-8.35E-01
2.00E+00,7.86E-02,5.68E+00,8.54E-01
1.00E+00,6.29E+00,3.99E-01,-1.19E+00
1.00E+00,4.30E+00,4.95E-01,-3.06E-01
0.00E+00,-2.10E+00,2.59E-01,-1.03E+00
0.00E+00,2.31E+00,3.59E-01,-1.81E-01
1.00E+00,3.46E+00,-7.13E-01,1.76E+00
0.00E+00,5.12E-01,-6.05E-01,-1.80E-01
0.00E+00,-6.66E-01,-1.82E-01,-6.87E-01
1.00E+00,2.92E+00,1.79E+00,8.14E-01
1.00E+00,4.84E+00,-1.93E-01,1.49E+00
2.00E+00,1.73E-01,6.78E+00,-2.85E+00
0.00E+00,5.42E-01,1.53E-01,1.77E+00
2.00E+00,-9.41E-02,5.01E+00,3.22E-01
2.00E+00,-1.07E-01,3.78E+00,-6.57E-01
0.00E+00,1.51E+00,-1.77E+00,-8.52E-01
2.00E+00,6.44E-02,5.64E+00,1.78E-01
1.00E+00,6.08E+00,1.29E+00,-5.59E-02
0.00E+00,3.27E-01,-7.21E-01,-1.26E-02
1.00E+00,5.25E+00,-3.92E-01,1.29E+00
2.00E+00,-1.16E+00,3.75E+00,-1.95E-01
1.00E+00,6.69E+00,1.31E+00,-4.60E-01
0.00E+00,1.41E+00,-1.04E+00,1.84E+00
2.00E+00,1.01E+00,5.10E+00,-1.20E-01
1.00E+00,7.12E+00,2.03E+00,-8.47E-02
2.00E+00,-6.71E-01,4.24E+00,-1.40E+00
1.00E+00,4.26E+00,1.48E+00,5.87E-01
0.00E+00,-1.04E-01,-6.48E-01,-1.09E-01
2.00E+00,2.34E-01,4.90E+00,1.16E-01
1.00E+00,5.27E+00,-1.11E+00,1.42E-01
0.00E+00,-3.63E-01,-1.26E+00,1.36E+00
1.00E+00,4.72E+00,-2.26E+00,-6.83E-02
0.00E+00,1.68E+00,1.25E+00,-6.41E-01
2.00E+00,-1.02E-01,4.76E+00,2.27E+00
1.00E+00,5.28E+00,-3.86E-01,5.27E-01
0.00E+00,-6.31E-01,1.56E-01,-1.44E+00
1.00E+00,6.03E+00,-5.66E-01,-1.71E+00
2.00E+00,-6.43E-01,7.21E+00,-1.90E-02
2.00E+00,-7.89E-01,6.17E+00,-8.86E-01
1.00E+00,4.49E+00,-2.75E-01,-1.86E-01
2.00E+00,-8.37E-01,5.97E+00,-7.97E-02
0.00E+00,1.10E+00,2.41E-01,1.38E-01
2.00E+00,-1.72E+00,5.35E+00,1.36E+00
0.00E+00,-1.99E-01,-1.68E+00,-2.97E-01
1.00E+00,5.48E+00,-8.26E-01,3.42E-01
1.00E+00,4.85E+00,-6.07E-01,-9.62E-01
0.00E+00,-1.46E+00,7.27E-01,-9.89E-02
2.00E+00,6.75E-01,5.86E+00,-2.96E+00
0.00E+00,1.37E+00,-4.24E-02,4.33E-01
1.00E+00,6.52E+00,-9.67E-01,-1.54E+00
1.00E+00,5.25E+00,-1.27E+00,-5.96E-01
1.00E+00,4.60E+00,4.35E-01,-3.18E-01
2.00E+00,-8.23E-01,3.62E+00,1.27E-04
0.00E+00,7.53E-01,-2.80E+00,-1.88E+00
1.00E+00,4.37E+00,1.03E+00,-7.76E-01
0.00E+00,1.62E+00,-3.92E-01,2.69E-01
